Winning Team,Losing Team,Winning Team Score,Losing Team Score,Overs played by winning Team,Overs played by losing Team,Wickets taken by losing Team,Wickets taken by Winning Team,Match Venue
Sunrisers Hyderabad,Royal Challengers Bangalore,231,113,    20,                 19.5,2,2,"[' M. A. Chidambaram Stadium', ' Chennai\n            ']"
Delhi Capitals,Kolkata Knight Riders,185,185,    20,"        
                    20",6,8,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad\n            ']"
Punjab Kings,Mumbai Indians,177,176,    18.4," 
                    20",2,7,"[' Arun Jaitley Stadium', ' Delhi\n            ']"
Sunrisers Hyderabad,Rajasthan Royals,201,198,    19,"   
                    20",5,2,"[' IS Bindra Stadium', ' Mohali\n            ']"
Mumbai Indians,Royal Challengers Bangalore,187,181,    20,"              
                    20",8,5,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad\n            ']"
Kolkata Knight Riders,Punjab Kings,218,190,    20,                    20,4,4,"[' M. Chinnaswamy Stadium', ' Bengaluru\n            ']"
Chennai Super Kings,Delhi Capitals,150,147,    19.4," 
                    20",4,6,"[' Eden Gardens', ' Kolkata\n            ']"
Punjab Kings,Rajasthan Royals,184,170,    20,"   
                    20",4,9,"[' Arun Jaitley Stadium', ' Delhi\n            ']"
Delhi Capitals,Mumbai Indians,213,176,    20,    19.2,6,2,"[' Sawai Mansingh Stadium', ' Jaipur\n            ']"
Kolkata Knight Riders,Sunrisers Hyderabad,183,181,    19.4,"      
                    20",4,3,"[' Wankhede Stadium', ' Mumbai\n            ']"
Chennai Super Kings,Royal Challengers Bangalore,71,70,   17.4,                17.1,3,2,"[' Eden Gardens', ' Kolkata\n            ']"
