Winning Team,Losing Team,Winning Team Score,Losing Team Score,Overs played by winning Team,Overs played by losing Team,Wickets taken by losing Team,Wickets taken by Winning Team,Match Venue
Mumbai Indians,Chennai Super Kings,202,161,    20,"      
                    20",5,8,"[' Eden Gardens', ' Kolkata\n            ']"
Chennai Super Kings,Royal Challengers Bangalore,140,139,    19.5,"              
                    20",7,8,"[' JSCA International Cricket Stadium', ' Ranchi\n            ']"
Royal Challengers Bangalore,Rajasthan Royals,180,109,    20,      19,4,2,"["" Maharashtra Cricket Association's International Stadium"", ' Pune\n            ']"
Mumbai Indians,Chennai Super Kings,187,162,    20,         19,6,2,"[' Wankhede Stadium', ' Mumbai\n            ']"
Mumbai Indians,Sunrisers Hyderabad,114,113,    13.5,         20,1,2,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad\n            ']"
Rajasthan Royals,Kolkata Knight Riders,199,190,    20,"        
                    20",6,9,"[' M. Chinnaswamy Stadium', ' Bengaluru\n            ']"
Chennai Super Kings,Punjab Kings,134,130,    16.5,                    20,3,7,"[' Brabourne Stadium', ' Mumbai\n            ']"
Royal Challengers Bangalore,Sunrisers Hyderabad,83,135,"   5.5/6
                
","      
                    11/11
                

",4,3,"[' IS Bindra Stadium', ' Mohali\n            ']"
Mumbai Indians,Kolkata Knight Riders,171,166,    20,"        
                    20",4,7,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad\n            ']"
Punjab Kings,Royal Challengers Bangalore,106,84,"    10/10
                
","             
                    10/10
                

",6,6,"[' Wankhede Stadium', ' Mumbai\n            ']"
Delhi Capitals,Chennai Super Kings,120,119,    16.4,"      
                    20",4,6,"[' IS Bindra Stadium', ' Mohali\n            ']"
Sunrisers Hyderabad,Punjab Kings,185,180,    20,                    20,5,7,"[' Shaheed Veer Narayan Singh International Cricket Stadium', ' Naya Raipur\n            ']"
Chennai Super Kings,Rajasthan Royals,157,145,    20,"   
                    20",5,9,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad\n            ']"
Royal Challengers Bangalore,Mumbai Indians,235,196,    20," 
                    20",1,7,"[' M. A. Chidambaram Stadium', ' Chennai\n            ']"
Sunrisers Hyderabad,Delhi Capitals,163,157,    20," 
                    20",4,4,"[' Wankhede Stadium', ' Mumbai\n            ']"
Kolkata Knight Riders,Punjab Kings,184,183,    19.5,                    20,9,5,"[' Shaheed Veer Narayan Singh International Cricket Stadium', ' Naya Raipur\n            ']"
Mumbai Indians,Chennai Super Kings,159,158,    19.2,"      
                    20",4,5,"[' Eden Gardens', ' Kolkata\n            ']"
Kolkata Knight Riders,Delhi Capitals,171,158,    20," 
                    20",7,6,"[' M. A. Chidambaram Stadium', ' Chennai\n            ']"
Sunrisers Hyderabad,Rajasthan Royals,201,194,    20,"   
                    20",4,7,"[' Eden Gardens', ' Kolkata\n            ']"
Royal Challengers Bangalore,Punjab Kings,226,88,    20, 13.4,3,2,"[' Brabourne Stadium', ' Mumbai\n            ']"
Mumbai Indians,Delhi Capitals,153,152,    19.3," 
                    20",5,6,"[' M. Chinnaswamy Stadium', ' Bengaluru\n            ']"
Kolkata Knight Riders,Sunrisers Hyderabad,167,132,    20,"      
                    20",7,9,"[' Wankhede Stadium', ' Mumbai\n            ']"
Chennai Super Kings,Royal Challengers Bangalore,148,124,    20,                 19.4,9,2,"[' Eden Gardens', ' Kolkata\n            ']"
Rajasthan Royals,Delhi Capitals,189,175,    20," 
                    20",2,7,"[' M. A. Chidambaram Stadium', ' Chennai\n            ']"
Mumbai Indians,Punjab Kings,172,149,    20,                    20,3,7,"[' Brabourne Stadium', ' Mumbai\n            ']"
Sunrisers Hyderabad,Chennai Super Kings,192,170,    20,"      
                    20",7,6,"[' IS Bindra Stadium', ' Mohali\n            ']"
Royal Challengers Bangalore,Kolkata Knight Riders,115,111,"    9.4/10
                
","        
                    10/10
                

",3,4,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad\n            ']"
Mumbai Indians,Rajasthan Royals,187,179,    20,"   
                    20",5,7,"[' M. Chinnaswamy Stadium', ' Bengaluru\n            ']"
Delhi Capitals,Punjab Kings,119,118,    13.5,                    20,1,8,"[' Wankhede Stadium', ' Mumbai\n            ']"
Kolkata Knight Riders,Chennai Super Kings,169,165,    19.5,"      
                    20",3,9,"[' Arun Jaitley Stadium', ' Delhi\n            ']"
Chennai Super Kings,Kolkata Knight Riders,134,132,    20,"        
                    20",6,9,"[' Eden Gardens', ' Kolkata\n            ']"
Sunrisers Hyderabad,Punjab Kings,150,130,    20,                    20,6,9,"[' M. Chinnaswamy Stadium', ' Bengaluru\n            ']"
Royal Challengers Bangalore,Delhi Capitals,99,95,   10.3,   18.2,0,2,"[' M. A. Chidambaram Stadium', ' Chennai\n            ']"
Chennai Super Kings,Punjab Kings,192,95,    20,                   20,3,9,"[' IS Bindra Stadium', ' Mohali\n            ']"
Mumbai Indians,Sunrisers Hyderabad,157,137,    20,"      
                    20",8,8,"[' Arun Jaitley Stadium', ' Delhi\n            ']"
Royal Challengers Bangalore,Rajasthan Royals,134,130,    16.1,"   
                    20",1,9,"[' Eden Gardens', ' Kolkata\n            ']"
Delhi Capitals,Mumbai Indians,190,153,    20," 
                    20",4,9,"[' M. A. Chidambaram Stadium', ' Chennai\n            ']"
Chennai Super Kings,Royal Challengers Bangalore,181,154,    20,"              
                    20",8,8,"[' Wankhede Stadium', ' Mumbai\n            ']"
Sunrisers Hyderabad,Kolkata Knight Riders,176,101,    20,"        
                    12/12
                

",4,4,"[' Narendra Modi Stadium', ' Ahmedabad\n            ']"
Punjab Kings,Rajasthan Royals,191,191,    20,"   
                    20",6,6,"[' Arun Jaitley Stadium', ' Delhi\n            ']"
Kolkata Knight Riders,Delhi Capitals,147,146,    18.1," 
                    20",4,8,"[' M. Chinnaswamy Stadium', ' Bengaluru\n            ']"
Mumbai Indians,Royal Challengers Bangalore,209,191,    20,"              
                    20",7,7,"[' ACA-VDCA Stadium', ' Visakhapatnam\n            ']"
Rajasthan Royals,Chennai Super Kings,157,156,    18.2,"      
                    20",2,4,"[' Narendra Modi Stadium', ' Ahmedabad\n            ']"
Kolkata Knight Riders,Punjab Kings,159,155,    17.5,                    20,6,9,"[' Arun Jaitley Stadium', ' Delhi\n            ']"
Delhi Capitals,Sunrisers Hyderabad,167,163,    20,"      
                    20",4,8,"[' M. Chinnaswamy Stadium', ' Bengaluru\n            ']"
Chennai Super Kings,Mumbai Indians,189,183,    16.4," 
                    20",4,7,"[' Narendra Modi Stadium', ' Ahmedabad\n            ']"
