Winning Team,Losing Team,Winning Team Score,Losing Team Score,Overs played by winning Team,Overs played by losing Team,Wickets taken by losing Team,Wickets taken by Winning Team,Match Venue
Rajasthan Royals,Sunrisers Hyderabad,131,127,    20,"      
                    20",4,5,"["" Maharashtra Cricket Association's International Stadium"", ' Pune\n            ']"
Delhi Capitals,Punjab Kings,169,165,    19.5,                    20,5,7,"[' ACA-VDCA Stadium', ' Visakhapatnam\n            ']"
Rajasthan Royals,Mumbai Indians,165,164,    19.1," 
                    20",3,5,"[' Wankhede Stadium', ' Mumbai\n            ']"
Sunrisers Hyderabad,Royal Challengers Bangalore,172,166,    17.2,                 19.5,2,2,"[' ACA-VDCA Stadium', ' Visakhapatnam\n            ']"
Punjab Kings,Mumbai Indians,177,159,    20," 
                    20",5,7,"["" Maharashtra Cricket Association's International Stadium"", ' Pune\n            ']"
Rajasthan Royals,Delhi Capitals,186,184,    20," 
                    20",7,3,"[' Narendra Modi Stadium', ' Ahmedabad\n            ']"
Royal Challengers Bangalore,Kolkata Knight Riders,179,177,    19,"        
                    20",7,6,"[' M. Chinnaswamy Stadium', ' Bengaluru\n            ']"
Chennai Super Kings,Sunrisers Hyderabad,209,164,    20,"      
                    20",4,6,"[' Wankhede Stadium', ' Mumbai\n            ']"
Rajasthan Royals,Punjab Kings,162,136,    20,                    20,7,8,"[' Arun Jaitley Stadium', ' Delhi\n            ']"
Chennai Super Kings,Delhi Capitals,150,149,    20," 
                    20",7,9,"[' Eden Gardens', ' Kolkata\n            ']"
Kolkata Knight Riders,Mumbai Indians,170,168,    18.3," 
                    20",3,3,"[' M. A. Chidambaram Stadium', ' Chennai\n            ']"
