Winning Team,Losing Team,Winning Team Score,Losing Team Score,Overs played by winning Team,Overs played by losing Team,Wickets taken by losing Team,Wickets taken by Winning Team,Match Venue
Kolkata Knight Riders,Punjab Kings,200,199,    19.3,                    20,7,4,"[' M. Chinnaswamy Stadium', ' Bengaluru\n            ']"
Punjab Kings,Chennai Super Kings,226,202,    20,"      
                    20",6,7,"[' Wankhede Stadium', ' Mumbai\n            ']"
Chennai Super Kings,Mumbai Indians,176,173,    18.4," 
                    20",3,8,"[' Brabourne Stadium', ' Mumbai\n            ']"
Kolkata Knight Riders,Punjab Kings,163,135,    20,                    20,8,8,"[' Eden Gardens', ' Kolkata\n            ']"
Mumbai Indians,Rajasthan Royals,195,189,    14.4,"   
                    20",5,4,"[' Wankhede Stadium', ' Mumbai\n            ']"
Punjab Kings,Delhi Capitals,119,115,    13.5,    18.1,3,2,"[' IS Bindra Stadium', ' Mohali\n            ']"
Kolkata Knight Riders,Sunrisers Hyderabad,161,160,    14.2,"      
                    20",6,7,"[' Eden Gardens', ' Kolkata\n            ']"
Chennai Super Kings,Royal Challengers Bangalore,160,154,    17.4,"              
                    20",2,6,"[' M. Chinnaswamy Stadium', ' Bengaluru\n            ']"
Punjab Kings,Rajasthan Royals,179,163,    20,"   
                    20",4,8,"[' IS Bindra Stadium', ' Mohali\n            ']"
Mumbai Indians,Delhi Capitals,173,158,," 
                    20",2,4,"[' Wankhede Stadium', ' Mumbai\n            ']"
Sunrisers Hyderabad,Chennai Super Kings,189,185,    19.4,"      
                    20",4,3,"[' JSCA International Cricket Stadium', ' Ranchi\n            ']"
Kolkata Knight Riders,Royal Challengers Bangalore,195,165,    20,"              
                    20",4,5,"[' Eden Gardens', ' Kolkata\n            ']"
Mumbai Indians,Punjab Kings,159,156,    19,                    20,3,8,"[' IS Bindra Stadium', ' Mohali\n            ']"
Kolkata Knight Riders,Chennai Super Kings,156,154,    18,"      
                    20",2,4,"[' Eden Gardens', ' Kolkata\n            ']"
Sunrisers Hyderabad,Royal Challengers Bangalore,161,160,    19.4,"              
                    20",3,6,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad\n            ']"
