Winning Team,Losing Team,Winning Team Score,Losing Team Score,Overs played by winning Team,Overs played by losing Team,Wickets taken by losing Team,Wickets taken by Winning Team,Match Venue
Mumbai Indians,Chennai Super Kings,148,125,    20,"      
                    20",9,9,"[' Eden Gardens', ' Kolkata\n            ']"
Mumbai Indians,Rajasthan Royals,169,165,    19.5,"   
                    20",6,6,"[' Eden Gardens', ' Kolkata\n            ']"
Rajasthan Royals,Sunrisers Hyderabad,135,132,    19.2,"      
                    20",6,7,"[' Arun Jaitley Stadium', ' Delhi\n            ']"
Chennai Super Kings,Mumbai Indians,192,144,    20,    18.4,1,2,"[' Arun Jaitley Stadium', ' Delhi\n            ']"
Sunrisers Hyderabad,Kolkata Knight Riders,132,130,    18.5,"        
                    20",5,7,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad\n            ']"
Pune Warriors India,Delhi Capitals,172,134,    20," 
                    20",5,9,"["" Maharashtra Cricket Association's International Stadium"", ' Pune\n            ']"
Royal Challengers Bangalore,Chennai Super Kings,106,82,"    8/8
                
","     
                    8/8
                

",2,6,"[' M. Chinnaswamy Stadium', ' Bengaluru\n            ']"
Punjab Kings,Mumbai Indians,183,133,    20,    19.1,8,2,"[' HPCA Stadium', ' Dharamsala\n            ']"
Sunrisers Hyderabad,Rajasthan Royals,136,113,    20,"   
                    20",9,9,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad\n            ']"
Punjab Kings,Delhi Capitals,171,164,    20," 
                    20",4,7,"[' HPCA Stadium', ' Dharamsala\n            ']"
Mumbai Indians,Rajasthan Royals,166,152,    20,"   
                    20",8,7,"[' Wankhede Stadium', ' Mumbai\n            ']"
Pune Warriors India,Kolkata Knight Riders,170,163,    20,"        
                    20",4,7,"[' JSCA International Cricket Stadium', ' Ranchi\n            ']"
Chennai Super Kings,Delhi Capitals,168,135,    20," 
                    20",4,9,"[' M. A. Chidambaram Stadium', ' Chennai\n            ']"
Punjab Kings,Royal Challengers Bangalore,176,174,    18.1,"              
                    20",3,5,"[' M. Chinnaswamy Stadium', ' Bengaluru\n            ']"
Mumbai Indians,Sunrisers Hyderabad,184,178,    19.3,"      
                    20",3,3,"[' Wankhede Stadium', ' Mumbai\n            ']"
Rajasthan Royals,Chennai Super Kings,144,141,    17.1,"      
                    20",5,4,"[' Sawai Mansingh Stadium', ' Jaipur\n            ']"
Kolkata Knight Riders,Royal Challengers Bangalore,116,115,    19.2,"              
                    20",5,9,"[' JSCA International Cricket Stadium', ' Ranchi\n            ']"
Sunrisers Hyderabad,Punjab Kings,150,120,    20,                    20,7,9,"[' IS Bindra Stadium', ' Mohali\n            ']"
Mumbai Indians,Pune Warriors India,116,112,    18.5,"      
                    20",5,8,"["" Maharashtra Cricket Association's International Stadium"", ' Pune\n            ']"
Royal Challengers Bangalore,Delhi Capitals,183,179,    20," 
                    20",4,7,"[' Arun Jaitley Stadium', ' Delhi\n            ']"
Kolkata Knight Riders,Pune Warriors India,152,106,    20,         19.3,6,2,"["" Maharashtra Cricket Association's International Stadium"", ' Pune\n            ']"
Rajasthan Royals,Punjab Kings,147,145,    19,                    20,2,6,"[' IS Bindra Stadium', ' Mohali\n            ']"
Chennai Super Kings,Sunrisers Hyderabad,223,146,    20,"      
                    20",3,8,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad\n            ']"
Mumbai Indians,Kolkata Knight Riders,170,105,    20,           18.2,6,2,"[' Wankhede Stadium', ' Mumbai\n            ']"
Rajasthan Royals,Delhi Capitals,155,154,    17.5," 
                    20",1,4,"[' Sawai Mansingh Stadium', ' Jaipur\n            ']"
Punjab Kings,Royal Challengers Bangalore,194,190,    18,"              
                    20",4,3,"[' IS Bindra Stadium', ' Mohali\n            ']"
Rajasthan Royals,Pune Warriors India,182,178,    19.5,"      
                    20",5,4,"[' Sawai Mansingh Stadium', ' Jaipur\n            ']"
Mumbai Indians,Chennai Super Kings,139,79,    20,        15.2,5,2,"[' Wankhede Stadium', ' Mumbai\n            ']"
Sunrisers Hyderabad,Delhi Capitals,81,80,   13.5,   19.1,4,2,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad\n            ']"
Kolkata Knight Riders,Rajasthan Royals,133,132,    17.2,"   
                    20",2,6,"[' Eden Gardens', ' Kolkata\n            ']"
Royal Challengers Bangalore,Pune Warriors India,187,170,    20,"      
                    20",3,9,"["" Maharashtra Cricket Association's International Stadium"", ' Pune\n            ']"
Chennai Super Kings,Punjab Kings,186,171,    20,                    20,4,6,"[' M. A. Chidambaram Stadium', ' Chennai\n            ']"
Delhi Capitals,Kolkata Knight Riders,137,136,    17.5,"        
                    20",3,7,"[' Shaheed Veer Narayan Singh International Cricket Stadium', ' Naya Raipur\n            ']"
Sunrisers Hyderabad,Mumbai Indians,130,129,    18," 
                    20",3,4,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad\n            ']"
Chennai Super Kings,Pune Warriors India,164,127,    20,"      
                    20",3,9,"["" Maharashtra Cricket Association's International Stadium"", ' Pune\n            ']"
Mumbai Indians,Punjab Kings,174,170,    20,  20,3,2,"[' Wankhede Stadium', ' Mumbai\n            ']"
