Winning Team,Losing Team,Winning Team Score,Losing Team Score,Overs played by winning Team,Overs played by losing Team,Wickets taken by losing Team,Wickets taken by Winning Team,Match Venue
Chennai Super Kings,Mumbai Indians,168,146,    20," 
                    20",5,9,"[' DY Patil Stadium', ' Navi Mumbai\n            ']"
Royal Challengers Bangalore,Deccan Chargers,86,82,   13.5,    18.3,1,2,"[' DY Patil Stadium', ' Navi Mumbai\n            ']"
Chennai Super Kings,Deccan Chargers,142,104,    20,     19.2,7,2,"[' DY Patil Stadium', ' Navi Mumbai\n            ']"
Mumbai Indians,Royal Challengers Bangalore,184,149,    20,"              
                    20",5,9,"[' DY Patil Stadium', ' Navi Mumbai\n            ']"
Kolkata Knight Riders,Mumbai Indians,135,133,    17.3," 
                    20",1,8,"[' Eden Gardens', ' Kolkata\n            ']"
Deccan Chargers,Delhi Capitals,145,134,    20," 
                    20",7,7,"[' Arun Jaitley Stadium', ' Delhi\n            ']"
Chennai Super Kings,Punjab Kings,195,192,    19.4,                    20,4,3,"[' HPCA Stadium', ' Dharamsala\n            ']"
Kolkata Knight Riders,Rajasthan Royals,133,132,    16.1,"   
                    20",2,9,"[' Eden Gardens', ' Kolkata\n            ']"
Mumbai Indians,Royal Challengers Bangalore,191,134,    20,"              
                    20",4,9,"[' M. Chinnaswamy Stadium', ' Bengaluru\n            ']"
Deccan Chargers,Punjab Kings,178,174,    19.1,                    20,5,3,"[' HPCA Stadium', ' Dharamsala\n            ']"
Delhi Capitals,Chennai Super Kings,113,112,    18.4,"      
                    20",4,9,"[' M. A. Chidambaram Stadium', ' Chennai\n            ']"
Royal Challengers Bangalore,Rajasthan Royals,132,130,    15.4,"   
                    20",5,6,"[' Sawai Mansingh Stadium', ' Jaipur\n            ']"
Chennai Super Kings,Kolkata Knight Riders,143,139,    13.3,"        
                    20",1,8,"[' M. A. Chidambaram Stadium', ' Chennai\n            ']"
Mumbai Indians,Delhi Capitals,183,144,    20," 
                    20",4,7,"[' Brabourne Stadium', ' Mumbai\n            ']"
Deccan Chargers,Royal Challengers Bangalore,151,138,    20,                 19.4,6,2,"[' Vidarbha Cricket Association Stadium', ' Nagpur\n            ']"
Mumbai Indians,Rajasthan Royals,174,137,    20,"   
                    20",5,8,"[' Sawai Mansingh Stadium', ' Jaipur\n            ']"
Punjab Kings,Delhi Capitals,112,111,    18.4,    19.4,3,2,"[' Arun Jaitley Stadium', ' Delhi\n            ']"
Royal Challengers Bangalore,Kolkata Knight Riders,162,160,    17.1,"        
                    20",3,9,"[' M. Chinnaswamy Stadium', ' Bengaluru\n            ']"
Deccan Chargers,Chennai Super Kings,139,138,    19.1,"      
                    20",4,8,"[' Vidarbha Cricket Association Stadium', ' Nagpur\n            ']"
Punjab Kings,Mumbai Indians,158,154,    19.2," 
                    20",4,9,"[' IS Bindra Stadium', ' Mohali\n            ']"
Deccan Chargers,Royal Challengers Bangalore,186,184,    19.2,"              
                    20",3,6,"[' M. Chinnaswamy Stadium', ' Bengaluru\n            ']"
Kolkata Knight Riders,Delhi Capitals,181,167,    20," 
                    20",3,8,"[' Eden Gardens', ' Kolkata\n            ']"
Rajasthan Royals,Punjab Kings,157,153,    15,                    20,1,6,"[' Sawai Mansingh Stadium', ' Jaipur\n            ']"
Chennai Super Kings,Mumbai Indians,165,141,    20," 
                    20",4,9,"[' M. A. Chidambaram Stadium', ' Chennai\n            ']"
Rajasthan Royals,Deccan Chargers,159,157,,     19.5,2,2,"[' Vidarbha Cricket Association Stadium', ' Nagpur\n            ']"
Delhi Capitals,Royal Challengers Bangalore,184,147,    20,"              
                    20",5,9,"[' Arun Jaitley Stadium', ' Delhi\n            ']"
Punjab Kings,Kolkata Knight Riders,204,200,    18.2,"        
                    20",2,3,"[' Eden Gardens', ' Kolkata\n            ']"
Mumbai Indians,Deccan Chargers,178,115,    20,     18.2,5,2,"[' Brabourne Stadium', ' Mumbai\n            ']"
