Winning Team,Losing Team,Winning Team Score,Losing Team Score,Overs played by winning Team,Overs played by losing Team,Wickets taken by losing Team,Wickets taken by Winning Team,Match Venue
Chennai Super Kings,Rajasthan Royals,246,223,    20,"   
                    20",5,5,"[' M. A. Chidambaram Stadium', ' Chennai\n            ']"
Royal Challengers Bangalore,Punjab Kings,184,181,    19.1,                    20,4,5,"[' IS Bindra Stadium', ' Mohali\n            ']"
Kolkata Knight Riders,Deccan Chargers,181,157,    20,"  
                    20",6,5,"[' Eden Gardens', ' Kolkata\n            ']"
Delhi Capitals,Rajasthan Royals,188,121,    20,      17.4,6,2,"[' Arun Jaitley Stadium', ' Delhi\n            ']"
Chennai Super Kings,Royal Challengers Bangalore,162,161,    18.5,"              
                    20",5,4,"[' M. A. Chidambaram Stadium', ' Chennai\n            ']"
Mumbai Indians,Punjab Kings,164,163,    19.3,  20,6,2,"[' Brabourne Stadium', ' Mumbai\n            ']"
Delhi Capitals,Kolkata Knight Riders,177,137,    20,"        
                    20",4,9,"[' Arun Jaitley Stadium', ' Delhi\n            ']"
Mumbai Indians,Deccan Chargers,172,131,    20,     17.4,7,2,"[' DY Patil Stadium', ' Navi Mumbai\n            ']"
Rajasthan Royals,Chennai Super Kings,177,160,    20,"      
                    20",8,6,"[' Narendra Modi Stadium', ' Ahmedabad\n            ']"
Kolkata Knight Riders,Punjab Kings,183,144,    20,                    20,5,6,"[' IS Bindra Stadium', ' Mohali\n            ']"
Rajasthan Royals,Deccan Chargers,151,148,    15.4,"  
                    20",2,9,"[' Narendra Modi Stadium', ' Ahmedabad\n            ']"
Mumbai Indians,Chennai Super Kings,181,180,    19,"      
                    20",5,2,"[' Brabourne Stadium', ' Mumbai\n            ']"
Delhi Capitals,Royal Challengers Bangalore,183,166,    20,"              
                    20",4,9,"[' M. Chinnaswamy Stadium', ' Bengaluru\n            ']"
Rajasthan Royals,Punjab Kings,183,152,    20,  19.1,5,2,"[' IS Bindra Stadium', ' Mohali\n            ']"
Royal Challengers Bangalore,Chennai Super Kings,171,135,    20,"      
                    20",5,7,"[' M. Chinnaswamy Stadium', ' Bengaluru\n            ']"
Mumbai Indians,Kolkata Knight Riders,156,155,    18.3,"        
                    20",3,3,"[' Brabourne Stadium', ' Mumbai\n            ']"
Punjab Kings,Chennai Super Kings,136,136,    20,"      
                    20",8,7,"[' M. A. Chidambaram Stadium', ' Chennai\n            ']"
Deccan Chargers,Delhi Capitals,171,161,    20," 
                    20",6,9,"[' Barabati Stadium', ' Cuttack\n            ']"
Royal Challengers Bangalore,Mumbai Indians,155,151,    19.1," 
                    20",3,9,"[' Brabourne Stadium', ' Mumbai\n            ']"
Rajasthan Royals,Kolkata Knight Riders,168,134,    20,"        
                    20",7,5,"[' Narendra Modi Stadium', ' Ahmedabad\n            ']"
Deccan Chargers,Punjab Kings,170,164,    20,                    20,7,8,"[' Barabati Stadium', ' Cuttack\n            ']"
Chennai Super Kings,Delhi Capitals,190,185,    19.1," 
                    20",5,6,"[' Arun Jaitley Stadium', ' Delhi\n            ']"
Royal Challengers Bangalore,Rajasthan Royals,93,92,   10.4,     19.5,0,2,"[' M. Chinnaswamy Stadium', ' Bengaluru\n            ']"
Mumbai Indians,Delhi Capitals,218,120,    20,    16.3,7,2,"[' Arun Jaitley Stadium', ' Delhi\n            ']"
Chennai Super Kings,Kolkata Knight Riders,164,109,    20,           19.2,3,2,"[' Eden Gardens', ' Kolkata\n            ']"
Royal Challengers Bangalore,Punjab Kings,204,203,    18.5,                    20,2,3,"[' M. Chinnaswamy Stadium', ' Bengaluru\n            ']"
Delhi Capitals,Rajasthan Royals,142,141,    17.1,"   
                    20",4,6,"[' Narendra Modi Stadium', ' Ahmedabad\n            ']"
Deccan Chargers,Chennai Super Kings,190,159,    20,"      
                    20",4,9,"[' M. A. Chidambaram Stadium', ' Chennai\n            ']"
Kolkata Knight Riders,Royal Challengers Bangalore,136,135,    19.2,"              
                    20",3,7,"[' Eden Gardens', ' Kolkata\n            ']"
Delhi Capitals,Punjab Kings,146,142,    19.5,                    20,5,9,"[' IS Bindra Stadium', ' Mohali\n            ']"
Mumbai Indians,Rajasthan Royals,212,208,    20,"   
                    20",6,7,"[' Brabourne Stadium', ' Mumbai\n            ']"
Kolkata Knight Riders,Deccan Chargers,161,150,    20,"  
                    20",4,7,"[' DY Patil Stadium', ' Navi Mumbai\n            ']"
