Winning Team,Losing Team,Winning Team Score,Losing Team Score,Overs played by winning Team,Overs played by losing Team,Wickets taken by losing Team,Wickets taken by Winning Team,Match Venue
Chennai Super Kings,Sunrisers Hyderabad,181,178,    18.3,"      
                    20",2,6,"[' Wankhede Stadium', ' Mumbai\n            ']"
Sunrisers Hyderabad,Kolkata Knight Riders,174,160,    20,"        
                    20",7,9,"[' Eden Gardens', ' Kolkata\n            ']"
Kolkata Knight Riders,Rajasthan Royals,169,144,    20,"   
                    20",7,4,"[' Eden Gardens', ' Kolkata\n            ']"
Chennai Super Kings,Sunrisers Hyderabad,140,139,    19.1,"      
                    20",8,7,"[' Wankhede Stadium', ' Mumbai\n            ']"
Chennai Super Kings,Punjab Kings,159,153,    19.1,  19.4,5,2,"["" Maharashtra Cricket Association's International Stadium"", ' Pune\n            ']"
Delhi Capitals,Mumbai Indians,174,163,    20,    19.3,4,2,"[' Arun Jaitley Stadium', ' Delhi\n            ']"
Kolkata Knight Riders,Sunrisers Hyderabad,173,172,    19.4,"      
                    20",5,9,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad\n            ']"
Rajasthan Royals,Royal Challengers Bangalore,164,134,    20,                 19.2,5,2,"[' Sawai Mansingh Stadium', ' Jaipur\n            ']"
Delhi Capitals,Chennai Super Kings,162,128,    20,"      
                    20",5,6,"[' Arun Jaitley Stadium', ' Delhi\n            ']"
Royal Challengers Bangalore,Sunrisers Hyderabad,218,204,    20,"      
                    20",6,3,"[' M. Chinnaswamy Stadium', ' Bengaluru\n            ']"
Mumbai Indians,Punjab Kings,186,183,    20,                    20,8,5,"[' Wankhede Stadium', ' Mumbai\n            ']"
Kolkata Knight Riders,Rajasthan Royals,145,142,    18,      19,4,2,"[' Eden Gardens', ' Kolkata\n            ']"
Royal Challengers Bangalore,Punjab Kings,92,88,   8.1, 15.1,0,2,"[' Holkar Cricket Stadium', ' Indore\n            ']"
Rajasthan Royals,Mumbai Indians,171,168,    18," 
                    20",3,6,"[' Wankhede Stadium', ' Mumbai\n            ']"
Chennai Super Kings,Sunrisers Hyderabad,180,179,    19,"      
                    20",2,4,"["" Maharashtra Cricket Association's International Stadium"", ' Pune\n            ']"
