Winning Team,Losing Team,Winning Team Score,Losing Team Score,Overs played by winning Team,Overs played by losing Team,Wickets taken by losing Team,Wickets taken by Winning Team,Match Venue
Punjab Kings,Gujarat Lions,154,131,,"
                    20",2,9,"[' Saurashtra Cricket Association Stadium', ' Rajkot\n            ']"
Sunrisers Hyderabad,Royal Challengers Bangalore,194,179,    20,"              
                    20",5,6,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad\n            ']"
Delhi Capitals,Kolkata Knight Riders,186,159,    20,           18.3,8,2,"[' Arun Jaitley Stadium', ' Delhi\n            ']"
Gujarat Lions,Rising Pune Supergiant,196,195,    20,"         
                    20",7,3,"["" Maharashtra Cricket Association's International Stadium"", ' Pune\n            ']"
Mumbai Indians,Kolkata Knight Riders,178,174,    18,"        
                    20",4,5,"[' Wankhede Stadium', ' Mumbai\n            ']"
Gujarat Lions,Delhi Capitals,172,171,    20," 
                    20",6,5,"[' Arun Jaitley Stadium', ' Delhi\n            ']"
Rising Pune Supergiant,Sunrisers Hyderabad,94,118,"   11/11
                
","      
                    20",3,8,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad\n            ']"
Mumbai Indians,Punjab Kings,189,164,    20,                    20,6,7,"[' IS Bindra Stadium', ' Mohali\n            ']"
Kolkata Knight Riders,Rising Pune Supergiant,162,160,    19.3,"         
                    20",8,5,"["" Maharashtra Cricket Association's International Stadium"", ' Pune\n            ']"
Gujarat Lions,Royal Challengers Bangalore,182,180,    19.3,"              
                    20",4,2,"[' Saurashtra Cricket Association Stadium', ' Rajkot\n            ']"
Sunrisers Hyderabad,Punjab Kings,146,143,    17.5,                    20,5,6,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad\n            ']"
Delhi Capitals,Mumbai Indians,164,154,    20," 
                    20",4,7,"[' Arun Jaitley Stadium', ' Delhi\n            ']"
Royal Challengers Bangalore,Rising Pune Supergiant,185,172,    20,"         
                    20",3,8,"["" Maharashtra Cricket Association's International Stadium"", ' Pune\n            ']"
Sunrisers Hyderabad,Gujarat Lions,137,135,    14.5,"
                    20",0,8,"[' Saurashtra Cricket Association Stadium', ' Rajkot\n            ']"
Mumbai Indians,Royal Challengers Bangalore,171,170,    18,"              
                    20",4,7,"[' Wankhede Stadium', ' Mumbai\n            ']"
Kolkata Knight Riders,Punjab Kings,141,138,    17.1,                    20,4,8,"[' IS Bindra Stadium', ' Mohali\n            ']"
Sunrisers Hyderabad,Mumbai Indians,145,142,    17.3," 
                    20",3,6,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad\n            ']"
Delhi Capitals,Royal Challengers Bangalore,192,191,    19.1,"              
                    20",3,5,"[' M. Chinnaswamy Stadium', ' Bengaluru\n            ']"
Punjab Kings,Rising Pune Supergiant,153,152,    18.4,"         
                    20",4,7,"[' IS Bindra Stadium', ' Mohali\n            ']"
Gujarat Lions,Mumbai Indians,147,143,    20," 
                    20",7,8,"[' Wankhede Stadium', ' Mumbai\n            ']"
Kolkata Knight Riders,Sunrisers Hyderabad,146,142,    18.2,"      
                    20",2,7,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad\n            ']"
Delhi Capitals,Punjab Kings,113,111,    13.3,                    20,2,9,"[' Arun Jaitley Stadium', ' Delhi\n            ']"
Gujarat Lions,Rising Pune Supergiant,164,163,    18,"         
                    20",3,5,"[' Saurashtra Cricket Association Stadium', ' Rajkot\n            ']"
Mumbai Indians,Kolkata Knight Riders,188,187,    19.1,"        
                    20",4,5,"[' Eden Gardens', ' Kolkata\n            ']"
Royal Challengers Bangalore,Sunrisers Hyderabad,227,182,    20,"      
                    20",4,6,"[' M. Chinnaswamy Stadium', ' Bengaluru\n            ']"
Gujarat Lions,Punjab Kings,162,161,    17.4,                    20,5,6,"[' IS Bindra Stadium', ' Mohali\n            ']"
Kolkata Knight Riders,Delhi Capitals,99,98,   14.1,   17.4,1,2,"[' Eden Gardens', ' Kolkata\n            ']"
Rising Pune Supergiant,Mumbai Indians,126,121,    14.4," 
                    20",1,8,"[' Wankhede Stadium', ' Mumbai\n            ']"
