Winning Team,Losing Team,Winning Team Score,Losing Team Score,Overs played by winning Team,Overs played by losing Team,Wickets taken by losing Team,Wickets taken by Winning Team,Match Venue
Sunrisers Hyderabad,Royal Challengers Bangalore,208,200,    20,"              
                    20",7,7,"[' M. Chinnaswamy Stadium', ' Bengaluru\n            ']"
Sunrisers Hyderabad,Gujarat Lions,163,162,    19.2,"
                    20",6,7,"[' Arun Jaitley Stadium', ' Delhi\n            ']"
Sunrisers Hyderabad,Kolkata Knight Riders,162,140,    20,"        
                    20",8,8,"[' Arun Jaitley Stadium', ' Delhi\n            ']"
Royal Challengers Bangalore,Gujarat Lions,159,158,    18.2,   20,6,2,"[' M. Chinnaswamy Stadium', ' Bengaluru\n            ']"
Royal Challengers Bangalore,Delhi Capitals,139,138,    18.1," 
                    20",4,8,"[' Shaheed Veer Narayan Singh International Cricket Stadium', ' Naya Raipur\n            ']"
Kolkata Knight Riders,Sunrisers Hyderabad,171,149,    20,"      
                    20",6,8,"[' Eden Gardens', ' Kolkata\n            ']"
Gujarat Lions,Mumbai Indians,173,172,    17.5," 
                    20",4,8,"[' Green Park', ' Kanpur\n            ']"
Rising Pune Supergiant,Punjab Kings,173,172,    20,                    20,6,7,"[' ACA-VDCA Stadium', ' Visakhapatnam\n            ']"
Delhi Capitals,Sunrisers Hyderabad,161,158,    20,"      
                    20",4,7,"[' Shaheed Veer Narayan Singh International Cricket Stadium', ' Naya Raipur\n            ']"
Gujarat Lions,Kolkata Knight Riders,125,124,    13.3,"        
                    20",4,8,"[' Green Park', ' Kanpur\n            ']"
Royal Challengers Bangalore,Punjab Kings,211,120,"    15/15
                
","                    14/14
                

",3,9,"[' M. Chinnaswamy Stadium', ' Bengaluru\n            ']"
Rising Pune Supergiant,Delhi Capitals,76,121,"   11/11
                
"," 
                    20",1,6,"[' ACA-VDCA Stadium', ' Visakhapatnam\n            ']"
Royal Challengers Bangalore,Kolkata Knight Riders,186,183,    18.4,"        
                    20",1,5,"[' Eden Gardens', ' Kolkata\n            ']"
Mumbai Indians,Delhi Capitals,206,126,    20,    19.1,4,2,"[' ACA-VDCA Stadium', ' Visakhapatnam\n            ']"
Sunrisers Hyderabad,Punjab Kings,180,179,    19.4,                    20,3,4,"[' IS Bindra Stadium', ' Mohali\n            ']"
Kolkata Knight Riders,Rising Pune Supergiant,66,103,"   5/9
                
","         
                    17.4/17.4
                

",2,6,"[' Eden Gardens', ' Kolkata\n            ']"
Royal Challengers Bangalore,Gujarat Lions,248,104,    20,   18.4,3,2,"[' M. Chinnaswamy Stadium', ' Bengaluru\n            ']"
Punjab Kings,Mumbai Indians,127,124,    17," 
                    20",3,9,"[' ACA-VDCA Stadium', ' Visakhapatnam\n            ']"
Delhi Capitals,Sunrisers Hyderabad,150,146,    18.1,"      
                    20",3,8,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad\n            ']"
Mumbai Indians,Royal Challengers Bangalore,153,151,    18.4,"              
                    20",4,4,"[' M. Chinnaswamy Stadium', ' Bengaluru\n            ']"
Sunrisers Hyderabad,Rising Pune Supergiant,137,133,    20,"         
                    20",8,8,"[' ACA-VDCA Stadium', ' Visakhapatnam\n            ']"
Royal Challengers Bangalore,Punjab Kings,175,174,    20,                    20,6,4,"[' IS Bindra Stadium', ' Mohali\n            ']"
Gujarat Lions,Kolkata Knight Riders,164,158,    18,"        
                    20",5,4,"[' Eden Gardens', ' Kolkata\n            ']"
Sunrisers Hyderabad,Mumbai Indians,177,92,    20,   16.3,3,2,"[' ACA-VDCA Stadium', ' Visakhapatnam\n            ']"
Punjab Kings,Delhi Capitals,181,172,    20," 
                    20",5,5,"[' IS Bindra Stadium', ' Mohali\n            ']"
Royal Challengers Bangalore,Rising Pune Supergiant,195,191,    19.3,"         
                    20",3,6,"[' M. Chinnaswamy Stadium', ' Bengaluru\n            ']"
Sunrisers Hyderabad,Gujarat Lions,129,126,    19,"
                    20",5,6,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad\n            ']"
Rising Pune Supergiant,Delhi Capitals,166,162,    19.1," 
                    20",3,7,"[' Arun Jaitley Stadium', ' Delhi\n            ']"
Kolkata Knight Riders,Punjab Kings,164,157,    20,                    20,3,9,"[' Eden Gardens', ' Kolkata\n            ']"
Delhi Capitals,Gujarat Lions,150,149,    17.2,"
                    20",2,7,"[' Saurashtra Cricket Association Stadium', ' Rajkot\n            ']"
Kolkata Knight Riders,Royal Challengers Bangalore,189,185,    19.1,"              
                    20",5,7,"[' M. Chinnaswamy Stadium', ' Bengaluru\n            ']"
Mumbai Indians,Rising Pune Supergiant,161,159,    18.3,"         
                    20",2,5,"["" Maharashtra Cricket Association's International Stadium"", ' Pune\n            ']"
