,Winning Team,Losing Team,Winning Team Score,Losing Team Score,Overs played by winning Team,Overs played by losing Team,Wickets taken by losing Team,Wickets taken by Winning Team,Match Venue
44,Royal Challengers Bangalore,Rajasthan Royals,181,177,    16.3,"   
                    20",0,9,"[' Wankhede Stadium', ' Mumbai\n            ']"
45,Chennai Super Kings,Kolkata Knight Riders,220,202,    20,           19.1,3,2,"[' Wankhede Stadium', ' Mumbai\n            ']"
46,Sunrisers Hyderabad,Punjab Kings,121,120,    18.4,  19.4,1,2,"[' M. A. Chidambaram Stadium', ' Chennai\n            ']"
47,Delhi Capitals,Mumbai Indians,138,137,    19.1," 
                    20",4,9,"[' M. A. Chidambaram Stadium', ' Chennai\n            ']"
48,Chennai Super Kings,Rajasthan Royals,188,143,    20,"   
                    20",9,9,"[' Wankhede Stadium', ' Mumbai\n            ']"
49,Delhi Capitals,Punjab Kings,198,195,    18.2,                    20,4,4,"[' Wankhede Stadium', ' Mumbai\n            ']"
50,Royal Challengers Bangalore,Kolkata Knight Riders,204,166,    20,"        
                    20",4,8,"[' M. A. Chidambaram Stadium', ' Chennai\n            ']"
51,Mumbai Indians,Sunrisers Hyderabad,150,137,    20,         19.4,5,2,"[' M. A. Chidambaram Stadium', ' Chennai\n            ']"
52,Chennai Super Kings,Punjab Kings,107,106,    15.4,                    20,4,8,"[' Wankhede Stadium', ' Mumbai\n            ']"
53,Rajasthan Royals,Delhi Capitals,150,147,    19.4," 
                    20",7,8,"[' Wankhede Stadium', ' Mumbai\n            ']"
54,Royal Challengers Bangalore,Sunrisers Hyderabad,149,143,    20,"      
                    20",8,9,"[' M. A. Chidambaram Stadium', ' Chennai\n            ']"
55,Mumbai Indians,Kolkata Knight Riders,152,142,,"        
                    20",2,7,"[' M. A. Chidambaram Stadium', ' Chennai\n            ']"
56,Punjab Kings,Rajasthan Royals,221,217,    20,"   
                    20",6,7,"[' Wankhede Stadium', ' Mumbai\n            ']"
57,Kolkata Knight Riders,Sunrisers Hyderabad,187,177,    20,"      
                    20",6,5,"[' M. A. Chidambaram Stadium', ' Chennai\n            ']"
58,Delhi Capitals,Chennai Super Kings,190,188,    18.4,"      
                    20",3,7,"[' Wankhede Stadium', ' Mumbai\n            ']"
59,Royal Challengers Bangalore,Mumbai Indians,160,159,    20," 
                    20",8,9,"[' M. A. Chidambaram Stadium', ' Chennai\n            ']"
